,index,classes,wav_path
0,0,bed,.\train\audio\bed\00176480_nohash_0.wav
1,1,bed,.\train\audio\bed\004ae714_nohash_0.wav
2,2,bed,.\train\audio\bed\004ae714_nohash_1.wav
3,4,bed,.\train\audio\bed\00f0204f_nohash_1.wav
4,5,bed,.\train\audio\bed\012c8314_nohash_0.wav
5,6,bed,.\train\audio\bed\012c8314_nohash_1.wav
6,7,bed,.\train\audio\bed\0132a06d_nohash_0.wav
7,8,bed,.\train\audio\bed\0135f3f2_nohash_0.wav
8,9,bed,.\train\audio\bed\0137b3f4_nohash_0.wav
9,10,bed,.\train\audio\bed\01648c51_nohash_0.wav
10,11,bed,.\train\audio\bed\01648c51_nohash_1.wav
11,12,bed,.\train\audio\bed\016e2c6d_nohash_0.wav
12,13,bed,.\train\audio\bed\01b4757a_nohash_0.wav
13,14,bed,.\train\audio\bed\01b4757a_nohash_1.wav
14,15,bed,.\train\audio\bed\01bcfc0c_nohash_0.wav
15,16,bed,.\train\audio\bed\0227998e_nohash_0.wav
16,17,bed,.\train\audio\bed\026290a7_nohash_0.wav
17,19,bed,.\train\audio\bed\035de8fe_nohash_0.wav
18,20,bed,.\train\audio\bed\0362539c_nohash_0.wav
19,21,bed,.\train\audio\bed\037c445a_nohash_0.wav
20,22,bed,.\train\audio\bed\0397ecda_nohash_0.wav
21,23,bed,.\train\audio\bed\03c96658_nohash_0.wav
22,24,bed,.\train\audio\bed\042186b8_nohash_0.wav
23,25,bed,.\train\audio\bed\042ea76c_nohash_0.wav
24,26,bed,.\train\audio\bed\0447d7c1_nohash_0.wav
25,27,bed,.\train\audio\bed\0474c92a_nohash_1.wav
26,29,bed,.\train\audio\bed\05d18852_nohash_0.wav
27,30,bed,.\train\audio\bed\06076b6b_nohash_0.wav
28,31,bed,.\train\audio\bed\060cd039_nohash_0.wav
29,32,bed,.\train\audio\bed\060cd039_nohash_1.wav
30,33,bed,.\train\audio\bed\063d48cf_nohash_0.wav
31,34,bed,.\train\audio\bed\063d48cf_nohash_1.wav
32,35,bed,.\train\audio\bed\0685264e_nohash_0.wav
33,37,bed,.\train\audio\bed\079dfce3_nohash_0.wav
34,38,bed,.\train\audio\bed\079dfce3_nohash_1.wav
35,39,bed,.\train\audio\bed\079dfce3_nohash_2.wav
36,40,bed,.\train\audio\bed\07c5129e_nohash_0.wav
37,41,bed,.\train\audio\bed\099d52ad_nohash_0.wav
38,42,bed,.\train\audio\bed\09bcdc9d_nohash_0.wav
39,43,bed,.\train\audio\bed\09bcdc9d_nohash_1.wav
40,44,bed,.\train\audio\bed\09ddc105_nohash_0.wav
41,45,bed,.\train\audio\bed\09ddc105_nohash_1.wav
42,46,bed,.\train\audio\bed\0a7c2a8d_nohash_0.wav
43,47,bed,.\train\audio\bed\0b56bcfe_nohash_0.wav
44,48,bed,.\train\audio\bed\0b77ee66_nohash_0.wav
45,49,bed,.\train\audio\bed\0b77ee66_nohash_1.wav
46,50,bed,.\train\audio\bed\0b77ee66_nohash_2.wav
47,53,bed,.\train\audio\bed\0c2ca723_nohash_0.wav
48,54,bed,.\train\audio\bed\0c2ca723_nohash_1.wav
49,55,bed,.\train\audio\bed\0c2d2ffa_nohash_0.wav
50,57,bed,.\train\audio\bed\0c40e715_nohash_0.wav
51,58,bed,.\train\audio\bed\0d2bcf9d_nohash_0.wav
52,59,bed,.\train\audio\bed\0d2bcf9d_nohash_1.wav
53,62,bed,.\train\audio\bed\0e17f595_nohash_1.wav
54,63,bed,.\train\audio\bed\0e5193e6_nohash_0.wav
